isin,date
COB52CD54834,2018Q4
COB07CD05YF1,2018Q4
COB51CD01X61,2018Q4
COB51CD02ZZ1,2018Q4
COB51CD02G61,2018Q4
COB51CD02YU5,2018Q4
COB52CD55310,2018Q4
COL06CD16275,2018Q4
COL06CD15509,2018Q4
COL06CD15731,2018Q4
COL06CD12910,2018Q4
COB51CD034K1,2018Q4
COB01CD089J8,2018Q4
COB51CD02G20,2018Q4
COB19CD0Y624,2018Q4
COB51CD01L99,2018Q4
COB19CD0YSP2,2018Q4
COB13CD68190,2018Q4
COB52CD47879,2018Q4
COB51CD01RQ9,2018Q4
COB02CD25482,2018Q4
COB51CD02SK8,2018Q4
COB07CD05PT0,2018Q4
COB31CD06879,2018Q4
COB01CD077Z9,2018Q4
COB01CD080Z3,2018Q4
COB51CD03GJ3,2018Q4
COB19CD12NH1,2018Q4
COB19CD0JPS3,2018Q4
COB23CD16172,2018Q4
COB13CD09087,2018Q4
COB01CD059Q6,2018Q4
COB07CD018D4,2018Q4
COB07CD05GH4,2018Q4
COB13CD47145,2018Q4
COB51CD01MK3,2018Q4
COB07CD05PP8,2018Q4
COB13CD036X6,2018Q4
COB13CD072Y9,2018Q4
COB07CD06PH3,2018Q4
COB01CD066I8,2018Q4
COB51CD01UA7,2018Q4
COB31CD06663,2018Q4
COB19CD0X9X3,2018Q4
COB13CD72788,2018Q4
COB07CD09XO7,2018Q4
COL06CD16200,2018Q4
COL06CD15491,2018Q4
COB51CD01MJ5,2018Q4
COB19CD17OO4,2018Q4
COB19CD17YJ3,2018Q4
COB51CD03H69,2018Q4
COB51CD01FO9,2018Q4
COB01CD089H2,2018Q4
COB23CD46963,2018Q4
COB13CD61781,2018Q4
COB13CD15696,2018Q4
COB07CD06CC2,2018Q4
COB51CD03UC9,2018Q4
COB51CD01GZ3,2018Q4
COB51CD01GU4,2018Q4
COB51CD01FJ9,2018Q4
COB06CD11ZI2,2018Q4
COB06CD10DF7,2018Q4
COB06CD10WK7,2018Q4
COB13CD90277,2018Q4
COB07CD076N1,2018Q4
COB07CD012N6,2018Q4
COB07CD093V9,2018Q4
COB07CD09XV2,2018Q4
COB01CD087H6,2018Q4
COB01CD087F0,2018Q4
COB01CD05S40,2018Q4
COB01CD08H32,2018Q4
COB01CD07JA2,2018Q4
COB51CD01QC1,2018Q4
COB51CD03FE6,2018Q4
COB06CD0ZZ96,2018Q4
COB06CD15S68,2018Q4
COB06CD0VX76,2018Q4
COB06CD0VYY3,2018Q4
COB53CD83732,2018Q4
COB53CD84847,2018Q4
COB53CD00D98,2018Q4
COB56CD15FW1,2018Q4
COB56CD17O69,2018Q4
COB56CD17O77,2018Q4
COJ12CD0PU11,2018Q4
COB63CD0GOM0,2018Q4
COJ26CD43909,2018Q4
COJ26CD43792,2018Q4
COJ26CD42976,2018Q4
COJ26CD43743,2018Q4
COJ26CD43719,2018Q4
COJ70CD61313,2018Q4
COJ70CD65785,2018Q4
COJ70CD64887,2018Q4
COB19CD10AT7,2018Q4
COB19CD0NJM1,2018Q4
COB19CD0UA77,2018Q4
COB12CD022A5,2018Q4
COJ05CD03H50,2018Q4
BCO03700619A,2018Q4
BCO03550519A,2018Q4
COB74CB00025,2018Q4
COB13CD03PL0,2018Q4
COB59CD15848,2018Q4
COB59CD16937,2018Q4
COB59CD16929,2018Q4
COB59CD15921,2018Q4
COB59CD16275,2018Q4
COB68CD05UY2,2018Q4
COB68CD06SZ1,2018Q4
COB68CD06IW9,2018Q4
COB01CD07H90,2018Q4
COB53CD61001,2018Q4
COJ12CD0PQF4,2018Q4
COJ0WCD06377,2018Q4
COJ0WCD06385,2018Q4
COB63CD0HMA7,2018Q4
COJ26CD41473,2018Q4
COJ1FCD06248,2018Q4
COJ1FCD06057,2018Q4
COJ46CD0C4G0,2018Q4
COJ12CD0Q5N9,2018Q4
COJ12CD0Q5W0,2018Q4
COJ10CD26619,2018Q4
COT80CH02597,2018Q4
BOG03000219A,2018Q4
BOG03000219D,2018Q4
BOG03000319A,2018Q4
BOG03000319B,2018Q4
BOG03000419A,2018Q4
BOG03050219D,2018Q4
BOG03100319D,2018Q4
BOG03200519D,2018Q4
COB01CD03ZT7,2018Q4
COB01CD043S6,2018Q4
COB01CD04XQ6,2018Q4
COB01CD04Y35,2018Q4
COB01CD04ZE7,2018Q4
COB01CD04ZP3,2018Q4
COB01CD051G4,2018Q4
COB01CD051X9,2018Q4
COB01CD054N4,2018Q4
COB01CD056L3,2018Q4
COB01CD057J5,2018Q4
COB01CD058O3,2018Q4
COB01CD05C63,2018Q4
COB01CD05CR5,2018Q4
COB01CD05DU7,2018Q4
COB01CD05EU5,2018Q4
COB01CD05HG7,2018Q4
COB01CD05J33,2018Q4
COB01CD05MZ7,2018Q4
COB01CD05SC3,2018Q4
COB01CD05SR1,2018Q4
COB01CD05TS7,2018Q4
COB01CD05VF0,2018Q4
COB01CD05WG6,2018Q4
COB01CD060E0,2018Q4
COB01CD062I7,2018Q4
COB01CD064I3,2018Q4
COB01CD064Q6,2018Q4
COB01CD065O8,2018Q4
COB01CD066K4,2018Q4
COB01CD066M0,2018Q4
COB01CD066V1,2018Q4
COB01CD06CJ0,2018Q4
COB01CD06D20,2018Q4
COB01CD06DC3,2018Q4
COB01CD06DO8,2018Q4
